description,predicted_category,industry,country,expected_pricing,marketing_budget,team_size,founder_experience,competition_level,expected_investment,success_score,success_label,revenue_y1,revenue_y2,revenue_y3,funding_readiness
A next-generation ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,2,36.0,8658.0,13,4,1,380516.0,53.87559285143158,1,335775.6746287656,389097.87490772916,481952.3328407717,Medium
A next-generation indie retro adventure game featuring physics-based puzzles and open worlds. utilizing modern tech.,Gaming,7,5,487.0,23782.0,15,14,0,145205.0,61.40608406969065,1,306929.5911202991,490024.1367890175,844580.1711132358,High
A cloud-based automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,4,248.0,116514.0,3,2,0,107789.0,45.676718448621045,0,305452.19528817653,362520.9507620763,453027.53385661944,Low
A scalable automated dropshipping software tool for shopify store operators. utilizing modern tech.,E-commerce,4,2,307.0,32554.0,4,2,0,400386.0,49.86000835500626,0,260316.24831602062,315062.04172353627,390769.83326913865,Medium
A fully-automated telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,5,291.0,26490.0,9,1,0,168787.0,47.805657209662805,0,272216.28943927056,335765.5740761738,410871.08375739964,Medium
A fully-automated mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,0,177.0,40630.0,3,2,1,342340.0,36.32786764849451,0,205514.32473251992,253210.37115699015,312843.2825173883,Medium
A scalable virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,3,278.0,55924.0,8,5,2,360040.0,59.98870005091105,1,274578.6283610843,310097.32930659957,387578.0616041494,Medium
A fully-automated mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,0,32.0,106025.0,16,4,1,229595.0,70.57454633006807,1,451493.7820787276,538294.8718511695,698169.6545083838,Medium
A next-generation mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,4,455.0,112635.0,20,3,0,346081.0,57.85549950653969,1,560887.7722421094,668717.9153258253,883351.0828174682,Medium
A user-friendly vr multiplayer physics sandbox game set in outer space. utilizing modern tech.,Gaming,7,0,269.0,38313.0,13,0,1,21635.0,77.45903109060082,1,226068.09741650763,254321.2225151318,279753.344766645,Low
A innovative decentralized micro-lending platform for small business owners in developing nations. utilizing modern tech.,FinTech,2,1,14.0,48079.0,17,9,0,459388.0,82.29065926477604,1,607429.8040998137,844714.3713482905,1336379.6086780357,High
A cloud-based smart water purification system for residential properties. utilizing modern tech.,Other,8,4,267.0,85374.0,10,0,0,12791.0,77.03494363224249,1,192868.11402817507,231861.31823211993,268980.53892870375,Low
A innovative multiplayer cloud gaming network streaming games directly to smart tvs. utilizing modern tech.,Gaming,7,4,158.0,89498.0,16,10,0,456352.0,91.26655539187533,1,348609.6791398528,518649.21339412493,800496.5319418258,High
A next-generation peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,1,12.0,58328.0,12,5,2,68830.0,67.4996342640619,1,334391.88128021505,407249.1657656017,509804.69032506767,Low
A cloud-based automated dropshipping software tool for shopify store operators. utilizing modern tech.,E-commerce,4,1,190.0,17677.0,10,11,1,455676.0,97.57226307867859,1,331608.9156605458,485566.18281466136,770275.743453372,High
A user-friendly mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,1,345.0,92259.0,11,9,0,75780.0,88.82312567010642,1,312458.37974649604,437335.223554274,685596.0020945352,High
A scalable gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,5,76.0,74582.0,20,7,2,242021.0,58.41294258398073,1,377342.01677165664,482455.29756615777,697091.1466373809,Medium
A fully-automated blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,5,370.0,125781.0,17,10,1,22832.0,91.43172318593852,1,503650.8472123867,683235.1998434636,1033711.2397764565,High
A scalable ai-driven automated feed system for livestock and poultry farms. utilizing modern tech.,Agriculture,5,0,100.0,81395.0,11,8,1,353616.0,68.81705026698177,1,254942.4583142288,309229.95297419815,450695.8113056921,High
A user-friendly online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,0,12.0,43516.0,15,0,0,178898.0,70.54582845528402,1,343417.7637835128,368626.26113258215,452671.37161826354,Medium
A user-friendly telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,1,15.0,84066.0,19,0,2,173668.0,35.47339514834098,0,523972.4830419543,556432.7887358661,612076.0676094528,Low
A cloud-based saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,5,259.0,121396.0,13,15,0,59139.0,100.0,1,329908.7675108507,495351.8472790291,915192.9955405605,High
A cloud-based ai-driven automated feed system for livestock and poultry farms. utilizing modern tech.,Agriculture,5,5,257.0,27561.0,4,10,1,280216.0,58.96026467528806,1,169404.77495409225,227168.23105744884,364537.2169312856,High
A cloud-based ai-powered medical imaging diagnostics tool for early cancer detection. utilizing modern tech.,HealthTech,1,1,453.0,130151.0,6,1,1,444759.0,47.2664533909481,0,498350.4449359519,608291.6679313229,737588.7015134073,Medium
A cloud-based automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,0,156.0,60030.0,5,11,2,495039.0,66.9544502979754,1,419790.55738147086,622432.097212114,943826.2274918245,High
A scalable ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,5,129.0,107608.0,6,14,0,420710.0,64.480273537409,1,363725.71610780456,565800.7995150795,1044246.5678979241,High
A next-generation biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,1,471.0,35279.0,19,10,2,368278.0,67.05592510935432,1,320593.53055335896,422153.85406126035,676069.493812066,High
A next-generation vertical farming startup growing pesticide-free leafy greens in urban centers. utilizing modern tech.,Agriculture,5,0,28.0,38415.0,14,15,0,370129.0,93.94192090563578,1,312522.30407026835,491634.1085161203,890036.7453968,High
A scalable biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,3,234.0,10218.0,2,10,2,214579.0,44.899984106666935,0,85577.42446531002,114567.41341427111,171453.9040995478,Medium
A cloud-based community coworking space with integrated child daycare and support. utilizing modern tech.,Other,8,0,355.0,10317.0,4,10,0,215553.0,81.35877331922748,1,103475.6889385348,159732.26559042226,245617.4602888052,High
A innovative luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,4,237.0,33733.0,12,1,1,467386.0,45.48574219581679,0,265642.6884627942,278924.8228859339,334131.62492453604,Medium
A user-friendly gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,5,67.0,93469.0,12,6,0,147426.0,91.12103409145396,1,270498.58409291826,377537.5984212151,539669.3798218222,High
A cloud-based fitness tracker and personalized nutrition planner using biological metrics. utilizing modern tech.,HealthTech,1,3,101.0,76894.0,17,1,1,426415.0,53.85110561998383,1,610974.0385493451,679432.9077816241,801092.8252252382,Medium
A scalable peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,5,11.0,70218.0,1,0,2,327129.0,3.55470608587148,0,288421.2691338541,332400.279419584,367186.1282356402,Low
A scalable subscription box service for organic spices and ingredients from around the world. utilizing modern tech.,E-commerce,4,3,141.0,26929.0,19,6,1,352572.0,62.68305183759933,1,383750.7179410107,506073.2453678192,693111.608579679,High
A fully-automated digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,5,36.0,64930.0,8,15,1,332930.0,68.92085236932986,1,398739.24479880347,627116.1478822235,1128201.326079677,High
A innovative smart iot soil sensors and weather monitoring system for precision irrigation. utilizing modern tech.,Agriculture,5,1,122.0,75400.0,6,11,0,112429.0,80.18924903671456,1,170978.54826347897,253879.80114778088,400916.96153454407,High
A cloud-based peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,0,324.0,134925.0,17,5,0,147920.0,78.98604835210662,1,575258.1875036727,751866.8878783545,1049966.028458786,Medium
A scalable vertical farming startup growing pesticide-free leafy greens in urban centers. utilizing modern tech.,Agriculture,5,3,477.0,45955.0,18,6,2,258707.0,62.69750363904159,1,334919.3269259946,426082.3354546427,568828.9637545972,Medium
A scalable blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,3,345.0,84201.0,1,14,0,371294.0,62.812834969175526,1,351105.50815289305,525637.9135534541,892916.7004206814,High
A fully-automated fitness tracker and personalized nutrition planner using biological metrics. utilizing modern tech.,HealthTech,1,3,236.0,118391.0,4,10,2,449142.0,69.28633123259205,1,464134.0547344353,651359.1046142124,949994.2089008569,High
A scalable mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,2,105.0,22745.0,10,6,0,477609.0,64.09377742849196,1,355127.3241471337,453600.815863705,676556.8569818233,High
A user-friendly ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,4,107.0,32628.0,5,8,1,54561.0,62.259832806984406,1,138866.37017697614,174400.10040180225,244738.41724465392,Medium
A innovative indie retro adventure game featuring physics-based puzzles and open worlds. utilizing modern tech.,Gaming,7,4,491.0,133584.0,8,11,0,360279.0,75.40850203701028,1,377978.086543501,571521.6509355011,961877.7841533228,High
A fully-automated decentralized micro-lending platform for small business owners in developing nations. utilizing modern tech.,FinTech,2,5,439.0,131942.0,18,0,0,183885.0,42.928961817710956,0,611894.9660387349,704317.1115301936,836851.1142983005,Low
A next-generation decentralized micro-lending platform for small business owners in developing nations. utilizing modern tech.,FinTech,2,1,227.0,122829.0,8,13,2,477044.0,66.07757350562525,1,591727.7688646372,856615.0225542269,1353696.8744198815,High
A cloud-based online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,1,337.0,26673.0,12,15,0,384826.0,96.56634177114591,1,317526.8793394415,511551.6596594965,950979.463317346,High
A cloud-based local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,3,194.0,31994.0,12,9,1,59099.0,75.43161303260736,1,179956.1203657968,256934.67246631082,399042.62599204824,Medium
A innovative local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,0,112.0,106140.0,13,0,1,429965.0,49.06637784498339,0,333801.4059652033,386690.63961292844,451683.98313399847,Medium
A fully-automated community coworking space with integrated child daycare and support. utilizing modern tech.,Other,8,3,229.0,82032.0,9,6,1,179007.0,64.03558989083305,1,208696.50551041757,276132.1885310192,407513.6247449476,Medium
A fully-automated drone spectral analysis for early crop disease and weed identification. utilizing modern tech.,Agriculture,5,0,183.0,29312.0,7,14,1,170542.0,71.80532836394298,1,174895.77128094,263381.1067711171,444121.3260445122,High
A user-friendly marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,5,244.0,8079.0,9,7,1,238076.0,62.64415999279484,1,182215.18144501676,233357.3213901886,325742.59736406174,Medium
A innovative multiplayer cloud gaming network streaming games directly to smart tvs. utilizing modern tech.,Gaming,7,5,125.0,78059.0,12,1,1,449430.0,44.280758909153036,0,411481.3147086724,452263.8045501807,567465.782853467,Medium
A fully-automated virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,2,167.0,62557.0,12,9,1,332244.0,82.71827673705347,1,391386.1224712885,565364.7957646365,848705.1965698503,High
A cloud-based digital classroom software for teachers to manage student homework and online tests. utilizing modern tech.,EdTech,0,2,286.0,26620.0,15,12,0,25183.0,100.0,1,222525.24680310345,329773.84505366173,548843.2129023309,High
A cloud-based saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,5,441.0,142421.0,17,6,1,478319.0,70.17348914112722,1,597019.6622190381,793333.3730257864,1109661.8439900745,High
A user-friendly mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,0,249.0,54163.0,11,10,0,279859.0,100.0,1,312283.7013350844,450785.0363006817,656341.0084273715,High
A user-friendly marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,5,391.0,137136.0,14,11,0,234403.0,91.64005706876527,1,427936.58960494277,646824.220019815,1116826.6442799536,High
A next-generation peer-to-peer campervan and rv rental marketplace for road trips. utilizing modern tech.,Travel,6,3,44.0,144468.0,10,8,1,133268.0,100.0,1,352677.83280527993,478186.7932557905,691846.3832043326,High
A innovative mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,3,224.0,31618.0,8,2,2,275430.0,61.16550423693687,1,269907.2846252408,304954.4187453634,391265.1040721285,Medium
A cloud-based subscription box service for organic spices and ingredients from around the world. utilizing modern tech.,E-commerce,4,0,256.0,45341.0,1,0,0,151572.0,43.39102693822119,0,149612.39729130061,176676.636147462,212758.9790442665,Low
A next-generation autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,3,255.0,83340.0,18,12,1,389078.0,72.67282133953785,1,739334.5705470896,1062358.2512693105,1706275.4945810079,High
A innovative virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,3,162.0,76598.0,10,8,0,22313.0,97.81851000806823,1,289153.89884616376,383068.83562171285,615219.0675949513,High
A scalable autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,1,300.0,148399.0,12,6,2,74090.0,78.52283682873642,1,449409.98731936526,502522.3832641548,709415.9375581788,Medium
A next-generation indie retro adventure game featuring physics-based puzzles and open worlds. utilizing modern tech.,Gaming,7,0,184.0,113577.0,3,3,0,45849.0,76.84811609186357,1,234399.56820930526,279329.2254929225,372628.94719454605,Medium
A innovative peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,3,164.0,91569.0,12,10,2,214664.0,56.741508603942876,1,445796.947244266,630066.490952901,932168.4553414941,Medium
A user-friendly computer vision safety monitoring for industrial construction sites. utilizing modern tech.,AI,3,5,400.0,98607.0,12,0,2,21872.0,52.98979718746704,1,487735.6395892595,550042.5601364096,639915.6201430442,Low
A user-friendly fitness tracker and personalized nutrition planner using biological metrics. utilizing modern tech.,HealthTech,1,0,150.0,106758.0,16,4,0,108793.0,88.90787917707368,1,534809.8549438658,674227.313180389,960160.2375191717,Medium
A cloud-based saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,4,225.0,50889.0,7,7,1,453575.0,53.99569050155451,1,353811.9024032506,459035.4753219067,656039.159433375,High
A next-generation peer-to-peer campervan and rv rental marketplace for road trips. utilizing modern tech.,Travel,6,2,405.0,138256.0,19,14,2,171792.0,86.14734066375625,1,515698.0228719183,764202.4633824588,1318295.8847868096,High
A next-generation automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,1,170.0,62383.0,2,12,1,496929.0,62.300039528912265,1,346370.7000907259,517315.2832713336,862344.819584364,High
A cloud-based luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,1,54.0,91797.0,11,0,0,492547.0,42.98483216738378,0,408769.1753741088,445487.70084061706,499321.60178122687,Medium
A fully-automated clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,2,399.0,138212.0,3,5,0,78411.0,75.13139613703844,1,176743.29751966603,229215.30126907973,304741.7495877881,Medium
A cloud-based community coworking space with integrated child daycare and support. utilizing modern tech.,Other,8,5,112.0,86430.0,7,4,1,397340.0,50.11310949896563,1,246542.96554783153,305867.4572491703,391312.95970649616,Medium
A user-friendly saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,3,392.0,149048.0,17,14,1,31562.0,89.05748607297231,1,463268.07744754036,732943.5250287201,1243809.8837618083,High
A innovative mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,3,360.0,68712.0,20,15,0,337515.0,84.1438176253463,1,474622.7885248399,777533.6385912742,1412672.9145838255,High
A innovative decentralized micro-lending platform for small business owners in developing nations. utilizing modern tech.,FinTech,2,4,397.0,95732.0,18,13,0,407751.0,76.7201315799821,1,521864.01772844075,826095.8080688684,1465660.1884400316,High
A user-friendly smart water purification system for residential properties. utilizing modern tech.,Other,8,5,281.0,77470.0,3,12,0,120075.0,73.56318630972297,1,141403.94603390095,212772.50776947808,347690.81098535686,High
A next-generation luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,0,361.0,81760.0,15,4,0,150515.0,71.7613817283163,1,344388.83226629125,451025.4902230337,617524.0378432631,Medium
A scalable marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,4,294.0,47201.0,3,7,2,469697.0,49.42674907067105,0,210050.44878721994,245381.99979162624,326510.8161054902,High
A innovative saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,2,305.0,106427.0,7,5,2,422540.0,55.85724613722084,1,379994.9421076416,472974.47976893606,624281.9372087695,Medium
A scalable automated dropshipping software tool for shopify store operators. utilizing modern tech.,E-commerce,4,5,122.0,125741.0,7,8,0,109494.0,77.708570895512,1,342950.3238356434,465443.66528760653,705017.5855162592,High
A innovative online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,2,5.0,129019.0,17,6,2,310487.0,49.09266453995928,0,468142.6388237428,621163.3089604247,802024.2064355188,Medium
